r0,alpha,n_grid,x_max,volume_nec_debt_numeric,volume_nec_debt_analytic,volume_nec_debt_rel_error,volume_nec_debt_negative,ratio_at_throat,max_ratio_interior,all_interior_strictly_below_one
0.5,0.25,501,30.0,-0.7160006504081697,-0.7158912420047074,0.00015282824686599142,True,1.0,0.9319506495779408,True
0.5,0.25,1001,30.0,-0.7159186025047946,-0.7158912420047074,3.821879425497253e-05,True,1.0,0.964896612136785,True
0.5,0.25,2001,30.0,-0.7158980826555578,-0.7158912420047074,9.555433072725107e-06,True,1.0,0.9821660901523018,True
0.5,0.25,4001,30.0,-0.7158929522002979,-0.7158912420047074,2.3889041940048127e-06,True,1.0,0.9910108399051699,True
0.5,0.5,501,30.0,-0.6132269389290763,-0.6130693606237085,0.0002570317740352662,True,1.0,0.9189068700171732,True
0.5,0.5,1001,30.0,-0.6131087696690449,-0.6130693606237085,6.428154441823452e-05,True,1.0,0.9580252108043236,True
0.5,0.5,2001,30.0,-0.6130792137910306,-0.6130693606237085,1.607186389485369e-05,True,1.0,0.9786376569604126,True
0.5,0.5,4001,30.0,-0.6130718239721896,-0.6130693606237085,4.018058378548438e-06,True,1.0,0.9892227278244197,True
0.5,1.0,501,30.0,-0.48361346812677225,-0.48333333333333334,0.0005795892278046478,True,1.0,0.8933644462391142,True
0.5,1.0,1001,30.0,-0.48340340229004447,-0.48333333333333334,0.00014497025526441403,True,1.0,0.944428861368232,True
0.5,1.0,2001,30.0,-0.4833508527811065,-0.48333333333333334,3.624713332380676e-05,True,1.0,0.9716187727434702,True
0.5,1.0,4001,30.0,-0.4833377133333915,-0.48333333333333334,9.062069085819734e-06,True,1.0,0.9856561768824077,True
0.5,2.0,501,30.0,-0.3752133776386497,-0.3745833333333334,0.001681987021979063,True,1.0,0.8443898357647581,True
0.5,2.0,1001,30.0,-0.37474097647071525,-0.3745833333333334,0.00042084931002946043,True,1.0,0.9178123045366686,True
0.5,2.0,2001,30.0,-0.37462275239742865,-0.3745833333333334,0.00010523443140005239,True,1.0,0.9577316636209663,True
0.5,2.0,4001,30.0,-0.37459318861724905,-0.3745833333333334,2.630999043115944e-05,True,1.0,0.9785616052443858,True
1.0,0.25,501,30.0,-1.4320013008163397,-1.4317824840094149,0.0001528282468661465,True,1.0,0.9319506495779408,True
1.0,0.25,1001,30.0,-1.4318372050095893,-1.4317824840094149,3.821879425512761e-05,True,1.0,0.964896612136785,True
1.0,0.25,2001,30.0,-1.4317961653111155,-1.4317824840094149,9.555433072725107e-06,True,1.0,0.9821660901523018,True
1.0,0.25,4001,30.0,-1.4317859044005958,-1.4317824840094149,2.3889041940048127e-06,True,1.0,0.9910108399051699,True
1.0,0.5,501,30.0,-1.2264538778581522,-1.226138721247417,0.000257031774034904,True,1.0,0.9189068700171732,True
1.0,0.5,1001,30.0,-1.2262175393380896,-1.226138721247417,6.428154441805342e-05,True,1.0,0.9580252108043236,True
1.0,0.5,2001,30.0,-1.2261584275820612,-1.226138721247417,1.607186389485369e-05,True,1.0,0.9786376569604126,True
1.0,0.5,4001,30.0,-1.226143647944379,-1.226138721247417,4.018058378367345e-06,True,1.0,0.9892227278244197,True
1.0,1.0,501,30.0,-0.9672269362535445,-0.9666666666666667,0.0005795892278046478,True,1.0,0.8933644462391142,True
1.0,1.0,1001,30.0,-0.9668068045800889,-0.9666666666666667,0.00014497025526441403,True,1.0,0.944428861368232,True
1.0,1.0,2001,30.0,-0.966701705562213,-0.9666666666666667,3.624713332380676e-05,True,1.0,0.9716187727434702,True
1.0,1.0,4001,30.0,-0.966675426666783,-0.9666666666666667,9.062069085819734e-06,True,1.0,0.9856561768824077,True
1.0,2.0,501,30.0,-0.7504267552772994,-0.7491666666666668,0.001681987021979063,True,1.0,0.8443898357647581,True
1.0,2.0,1001,30.0,-0.7494819529414305,-0.7491666666666668,0.00042084931002946043,True,1.0,0.9178123045366686,True
1.0,2.0,2001,30.0,-0.7492455047948573,-0.7491666666666668,0.00010523443140005239,True,1.0,0.9577316636209663,True
1.0,2.0,4001,30.0,-0.7491863772344981,-0.7491666666666668,2.630999043115944e-05,True,1.0,0.9785616052443858,True
2.0,0.25,501,30.0,-2.864002601632679,-2.8635649680188298,0.00015282824686599142,True,1.0,0.9319506495779408,True
2.0,0.25,1001,30.0,-2.863674410019178,-2.8635649680188298,3.821879425497253e-05,True,1.0,0.964896612136785,True
2.0,0.25,2001,30.0,-2.863592330622231,-2.8635649680188298,9.555433072725107e-06,True,1.0,0.9821660901523018,True
2.0,0.25,4001,30.0,-2.8635718088011917,-2.8635649680188298,2.3889041940048127e-06,True,1.0,0.9910108399051699,True
2.0,0.5,501,30.0,-2.4529077557163053,-2.452277442494834,0.0002570317740352662,True,1.0,0.9189068700171732,True
2.0,0.5,1001,30.0,-2.4524350786761797,-2.452277442494834,6.428154441823452e-05,True,1.0,0.9580252108043236,True
2.0,0.5,2001,30.0,-2.4523168551641223,-2.452277442494834,1.607186389485369e-05,True,1.0,0.9786376569604126,True
2.0,0.5,4001,30.0,-2.4522872958887585,-2.452277442494834,4.018058378548438e-06,True,1.0,0.9892227278244197,True
2.0,1.0,501,30.0,-1.934453872507089,-1.9333333333333333,0.0005795892278046478,True,1.0,0.8933644462391142,True
2.0,1.0,1001,30.0,-1.9336136091601779,-1.9333333333333333,0.00014497025526441403,True,1.0,0.944428861368232,True
2.0,1.0,2001,30.0,-1.933403411124426,-1.9333333333333333,3.624713332380676e-05,True,1.0,0.9716187727434702,True
2.0,1.0,4001,30.0,-1.933350853333566,-1.9333333333333333,9.062069085819734e-06,True,1.0,0.9856561768824077,True
2.0,2.0,501,30.0,-1.5008535105545988,-1.4983333333333335,0.001681987021979063,True,1.0,0.8443898357647581,True
2.0,2.0,1001,30.0,-1.498963905882861,-1.4983333333333335,0.00042084931002946043,True,1.0,0.9178123045366686,True
2.0,2.0,2001,30.0,-1.4984910095897146,-1.4983333333333335,0.00010523443140005239,True,1.0,0.9577316636209663,True
2.0,2.0,4001,30.0,-1.4983727544689962,-1.4983333333333335,2.630999043115944e-05,True,1.0,0.9785616052443858,True
