x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-4.99967764258727243e-01,-5.00000000000000000e-01,-1.98930852670949690e-02,-1.98943678864869182e-02,-3.97887357729738364e-02,-5.96818210400688054e-02,-5.96831036594607511e-02
1.00724999999999998e+00,1.00724999999999998e+00,9.96394592601146711e-01,-4.94627380252524063e-01,-4.94611363912209834e-01,-1.93983031203924794e-02,-1.93976749913468589e-02,-3.87953499826937248e-02,-5.81936531030862042e-02,-5.81930249740405803e-02
1.01449999999999996e+00,1.01449999999999996e+00,9.92827902986338495e-01,-4.89334447771412329e-01,-4.89318828480206303e-01,-1.89174165793537241e-02,-1.89168127456367935e-02,-3.78336254912735939e-02,-5.67510420706273180e-02,-5.67504382369103874e-02
1.02174999999999994e+00,1.02174999999999994e+00,9.89299243108461290e-01,-4.84135246116522922e-01,-4.84120011308275700e-01,-1.84517494541330575e-02,-1.84511688129444344e-02,-3.69023376258888688e-02,-5.53540870800219298e-02,-5.53535064388332998e-02
1.02899999999999991e+00,1.02899999999999991e+00,9.85807941917648867e-01,-4.79027467810908547e-01,-4.79012605402161784e-01,-1.80007171470739913e-02,-1.80001586529709330e-02,-3.60003173059418660e-02,-5.40010344530158573e-02,-5.40004759589128025e-02
1.03624999999999989e+00,1.03624999999999989e+00,9.82353344825203090e-01,-4.74008877904495307e-01,-4.73994376272715678e-01,-1.75637614142213593e-02,-1.75632240757609033e-02,-3.51264481515218135e-02,-5.26902095657431763e-02,-5.26896722272827134e-02
1.04350000000000009e+00,1.04350000000000009e+00,9.78934813188033548e-01,-4.69077311207200864e-01,-4.69063159170116650e-01,-1.71403490039719990e-02,-1.71398318805704927e-02,-3.42796637611409924e-02,-5.14200127651129879e-02,-5.14194956417114851e-02
1.05075000000000007e+00,1.05075000000000007e+00,9.75551723812698723e-01,-4.64230669645800731e-01,-4.64216856441921788e-01,-1.67299703748741112e-02,-1.67294725738739020e-02,-3.34589451477478039e-02,-5.01889155226219186e-02,-5.01884177216217059e-02
1.05800000000000005e+00,1.05800000000000005e+00,9.72203468478169408e-01,-4.59466919738659385e-01,-4.59453435008586653e-01,-1.63321384874836918e-02,-1.63316591614004573e-02,-3.26633183228009077e-02,-4.89954568102845961e-02,-4.89949774842013686e-02
1.06525000000000003e+00,1.06525000000000003e+00,9.68889453476488027e-01,-4.54784090181675538e-01,-4.54770923950475470e-01,-1.59463876655071765e-02,-1.59459260094568823e-02,-3.18918520189137647e-02,-4.78382396844209412e-02,-4.78377780283706505e-02
1.07250000000000001e+00,1.07250000000000001e+00,9.65609099170535168e-01,-4.50180269540197742e-01,-4.50167412200715711e-01,-1.55722725218324781e-02,-1.55718277711228929e-02,-3.11436555422457823e-02,-4.67159280640782604e-02,-4.67154833133686734e-02
1.07974999999999999e+00,1.07974999999999999e+00,9.62361839568155353e-01,-4.45653604041638118e-01,-4.45641046338576208e-01,-1.52093669453457619e-02,-1.52089383732168099e-02,-3.04178767464336232e-02,-4.56272436917793817e-02,-4.56268151196504296e-02
1.08699999999999997e+00,1.08699999999999997e+00,9.59147121911931300e-01,-4.41202295463654082e-01,-4.41190028478349261e-01,-1.48572631447108604e-02,-1.48568500602130234e-02,-2.97137001204260467e-02,-4.45709632651369037e-02,-4.45705501806390736e-02
1.09424999999999994e+00,1.09424999999999994e+00,9.55964406283932311e-01,-4.36824599112867418e-01,-4.36812614248998088e-01,-1.45155707455458544e-02,-1.45151724915562105e-02,-2.90303449831124244e-02,-4.35459157286582771e-02,-4.35455174746686366e-02
1.10149999999999992e+00,1.10149999999999992e+00,9.52813165224794867e-01,-4.32518821890170102e-01,-4.32507110860097577e-01,-1.41839159377030004e-02,-1.41835318890612180e-02,-2.83670637781224359e-02,-4.25509797158254363e-02,-4.25505956671836522e-02
1.10874999999999990e+00,1.10874999999999990e+00,9.49692883366524798e-01,-4.28283320438183068e-01,-4.28271875249842116e-01,-1.38619406695580562e-02,-1.38615702313127104e-02,-2.77231404626254244e-02,-4.15850811321834823e-02,-4.15847106939381331e-02
1.11600000000000010e+00,1.11600000000000010e+00,9.46603057078441279e-01,-4.24116499366505195e-01,-4.24105312311129579e-01,-1.35493018864195087e-02,-1.35489444921876624e-02,-2.70978889843753283e-02,-4.06471908707948387e-02,-4.06468334765629907e-02
1.12325000000000008e+00,1.12325000000000008e+00,9.43543194125710416e-01,-4.20016809551682968e-01,-4.20005873191947654e-01,-1.32456708103968115e-02,-1.32453259208171002e-02,-2.64906518416342003e-02,-3.97363226520310100e-02,-3.97359777624513022e-02
1.13050000000000006e+00,1.13050000000000006e+00,9.40512813339941744e-01,-4.15982746507708612e-01,-4.15972053666493424e-01,-1.29507322592021367e-02,-1.29503993604825843e-02,-2.59007987209651687e-02,-3.88515309801673037e-02,-3.88511980814477548e-02
1.13775000000000004e+00,1.13775000000000004e+00,9.37511444301348695e-01,-4.12012848823877675e-01,-4.12002392573653564e-01,-1.26641840015542829e-02,-1.26638626041095607e-02,-2.53277252082191248e-02,-3.79919092097734112e-02,-3.79915878123286838e-02
1.14500000000000002e+00,1.14500000000000002e+00,9.34538627031995528e-01,-4.08105696667078632e-01,-4.08095470319648712e-01,-1.23857361470084849e-02,-1.23854257841734434e-02,-2.47708515683468904e-02,-3.71565877153553770e-02,-3.71562773525203338e-02
1.15225000000000000e+00,1.15225000000000000e+00,9.31593911699675981e-01,-4.04259910345032836e-01,-4.04249907441820766e-01,-1.21151105681566295e-02,-1.21148107949777522e-02,-2.42296215899555044e-02,-3.63447321581121321e-02,-3.63444323849332548e-02
1.15949999999999998e+00,1.15949999999999998e+00,9.28676858331992650e-01,-4.00474148927848717e-01,-4.00464363230699727e-01,-1.18520403532970282e-02,-1.18517507453964801e-02,-2.37035014907929636e-02,-3.55555418440899884e-02,-3.55552522361894455e-02
