x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.99959070440270636e+00,-2.00000000000000000e+00,-7.95611861915739155e-02,-7.95774715459476728e-02,-3.97887357729738364e-02,-1.19349921964547745e-01,-1.19366207318921502e-01
1.00724999999999998e+00,1.00724999999999998e+00,9.85656176882407697e-01,-1.95732601769171310e+00,-1.95712321048877191e+00,-7.67624375691256244e-02,-7.67544838735666757e-02,-3.83772419367833378e-02,-1.15139679505908962e-01,-1.15131725810350014e-01
1.01449999999999996e+00,1.01449999999999996e+00,9.71618772743470194e-01,-1.91565899038167231e+00,-1.91546332724193236e+00,-7.40583854459457430e-02,-7.40508212101954472e-02,-3.70254106050977305e-02,-1.11083796051043474e-01,-1.11076231815293178e-01
1.02174999999999994e+00,1.02174999999999994e+00,9.57879121521873600e-01,-1.87516630174057752e+00,-1.87497748279299947e+00,-7.14678368536356551e-02,-7.14606404349884816e-02,-3.57303202174942477e-02,-1.07198157071129896e-01,-1.07190960652482736e-01
1.02899999999999991e+00,1.02899999999999991e+00,9.44428861368232009e-01,-1.83580686911706437e+00,-1.83562460907333747e+00,-6.89852720526587526e-02,-6.89784231520950003e-02,-3.44892115760475002e-02,-1.03474483628706260e-01,-1.03467634728142494e-01
1.03624999999999989e+00,1.03624999999999989e+00,9.31259921919676215e-01,-1.79754132255570198e+00,-1.79736534990528596e+00,-6.66054759588983886e-02,-6.65989555290258523e-02,-3.32994777645129331e-02,-9.99049537234113216e-02,-9.98984332935387853e-02
1.04350000000000009e+00,1.04350000000000009e+00,9.18364512191173876e-01,-1.76033192207020761e+00,-1.76016197832520138e+00,-6.43235193564676844e-02,-6.43173095163606101e-02,-3.21586547581803120e-02,-9.64821741146479894e-02,-9.64759642745409152e-02
1.05075000000000007e+00,1.05075000000000007e+00,9.05735109049657816e-01,-1.72414247945239651e+00,-1.72397831843855864e+00,-6.21347413890354708e-02,-6.21288253454007136e-02,-3.10644126727003568e-02,-9.31991540617358311e-02,-9.31932380181010739e-02
1.05800000000000005e+00,1.05800000000000005e+00,8.93364446239114152e-01,-1.68893828433866133e+00,-1.68877967152951625e+00,-6.00347332345963838e-02,-6.00290952087591395e-02,-3.00145476043795663e-02,-9.00492808389759536e-02,-9.00436428131387023e-02
1.06525000000000003e+00,1.06525000000000003e+00,8.81245503926747387e-01,-1.65468603427490990e+00,-1.65453274616615320e+00,-5.80193228762855770e-02,-5.80139480365330015e-02,-2.90069740182665008e-02,-8.70262968945520743e-02,-8.70209220547994988e-02
1.07250000000000001e+00,1.07250000000000001e+00,8.69371498742128046e-01,-1.62135376853847646e+00,-1.62120559205991244e+00,-5.60845608888391814e-02,-5.60794352876930399e-02,-2.80397176438465165e-02,-8.41242785326856979e-02,-8.41191529315395564e-02
1.07974999999999999e+00,1.07974999999999999e+00,8.57735874282939514e-01,-1.58891080549136632e+00,-1.58876753745392829e+00,-5.42267071666836520e-02,-5.42218176827141060e-02,-2.71109088413570495e-02,-8.13376160080407085e-02,-8.13327265240711555e-02
1.08699999999999997e+00,1.08699999999999997e+00,8.46332292062503266e-01,-1.55732768325433568e+00,-1.55718912982981283e+00,-5.24422185254896298e-02,-5.24375528093115814e-02,-2.62187764046557907e-02,-7.86609949301454170e-02,-7.86563292139673687e-02
1.09424999999999994e+00,1.09424999999999994e+00,8.35154622875751707e-01,-1.52657610350494366e+00,-1.52644207973635226e+00,-5.07277371143657410e-02,-5.07232835384944999e-02,-2.53616417692472500e-02,-7.60893788836129875e-02,-7.60849253077417464e-02
1.10149999999999992e+00,1.10149999999999992e+00,8.24196938561681636e-01,-1.49662887821581592e+00,-1.49649920755638988e+00,-4.90800795807733309e-02,-4.90758271930394341e-02,-2.45379135965197170e-02,-7.36179931772930479e-02,-7.36137407895591511e-02
1.10874999999999990e+00,1.10874999999999990e+00,8.13453504141622430e-01,-1.46745987916114728e+00,-1.46733439304013080e+00,-4.74962269347230584e-02,-4.74921654149734612e-02,-2.37460827074867341e-02,-7.12423096422097890e-02,-7.12382481224601988e-02
1.11600000000000010e+00,1.11600000000000010e+00,8.02918770313844732e-01,-1.43904399003071859e+00,-1.43892252744416616e+00,-4.59733150629313622e-02,-4.59694346827632661e-02,-2.29847173413816330e-02,-6.89580324043130022e-02,-6.89541520241448991e-02
1.12325000000000008e+00,1.12325000000000008e+00,7.92587366286176764e-01,-1.41135706100074287e+00,-1.41123946812584333e+00,-4.45086258473772686e-02,-4.45049174326777944e-02,-2.22524587163388972e-02,-6.67610845637161693e-02,-6.67573761490166950e-02
1.13050000000000006e+00,1.13050000000000006e+00,7.82454092929333989e-01,-1.38437586562085357e+00,-1.38426199545216089e+00,-4.30995788461736862e-02,-4.30960337422494760e-02,-2.15480168711247380e-02,-6.46475957172984173e-02,-6.46440506133742210e-02
1.13775000000000004e+00,1.13775000000000004e+00,7.72513916234674469e-01,-1.35807805988497421e+00,-1.35796777189131967e+00,-4.17437234978299682e-02,-4.17403335369372699e-02,-2.08701667684686350e-02,-6.26138902662985997e-02,-6.26105003054059084e-02
1.14500000000000002e+00,1.14500000000000002e+00,7.62761961061001914e-01,-1.33244214336268385e+00,-1.33233530316332205e+00,-4.04387318129194734e-02,-4.04354892840109170e-02,-2.02177446420054620e-02,-6.06564764549249319e-02,-6.06532339260163755e-02
1.15225000000000000e+00,1.15225000000000000e+00,7.53193505155915544e-01,-1.30744742227487620e+00,-1.30734390133376532e+00,-3.91823915198325837e-02,-3.91792891403594246e-02,-1.95896445701797088e-02,-5.87720360900122890e-02,-5.87689337105391368e-02
1.15949999999999998e+00,1.15949999999999998e+00,7.43803973438016297e-01,-1.28307397440504189e+00,-1.28297364974215844e+00,-3.79725996337744315e-02,-3.79696305233933745e-02,-1.89848152616966873e-02,-5.69574148954711187e-02,-5.69544457850900618e-02
1.16674999999999995e+00,1.16674999999999995e+00,7.34588932527042493e-01,-1.25930261574431768e+00,-1.25920536966281116e+00,-3.68073564204402931e-02,-3.68045140764812276e-02,-1.84022570382406138e-02,-5.52096134586809034e-02,-5.52067711147218448e-02
