alpha,r0,n_grid,throat_identity_abs_error,flare_out_value_bprime_at_throat,max_rel_error_bprime_interior,max_rel_error_nec_interior,max_numeric_nec_interior,min_numeric_nec_interior,all_analytic_nec_negative,all_numeric_nec_negative,flat_control_max_abs,schwarzschild_lapse_strictly_increases_away_from_horizon
0.25,0.5,501,0.0,-0.25,0.0009489093021486194,0.00018978186042980141,-3.2493514070654856e-06,-0.08697531284867994,True,True,0.0,True
0.25,0.5,1001,0.0,-0.25,0.0003008283487977852,6.016566975968602e-05,-3.198340427366841e-06,-0.1281263462912792,True,True,0.0,True
0.25,0.5,2001,0.0,-0.25,8.56914539185029e-05,1.7138290783743703e-05,-3.1732276211274858e-06,-0.15846974528520855,True,True,0.0,True
0.25,0.5,4001,0.0,-0.25,2.2945783359093956e-05,4.589156671875741e-06,-3.1607679360587566e-06,-0.17720353085029525,True,True,0.0,True
0.5,0.5,501,0.0,-0.5,0.0012654605052445727,0.00042182016841489374,-1.6701383720049083e-06,-0.09795589120459251,True,True,0.0,True
0.5,0.5,1001,0.0,-0.5,0.00040112940168101794,0.00013370980056035738,-1.6419189368028104e-06,-0.14864498204381882,True,True,0.0,True
0.5,0.5,2001,0.0,-0.5,0.00011425729527970352,3.8085765093208595e-05,-1.6280392604847642e-06,-0.18686905003316945,True,True,0.0,True
0.5,0.5,4001,0.0,-0.5,3.059452285840012e-05,1.019817428631971e-05,-1.6211560403292403e-06,-0.2107608382629727,True,True,0.0,True
1.0,0.5,501,0.0,-1.0,0.002025607923234188,0.0010128039616170326,-4.085454213752371e-07,-0.11506173507473347,True,True,0.0,True
1.0,0.5,1001,0.0,-1.0,0.0006418945735879674,0.00032094728679390164,-4.0066557543090063e-07,-0.1852539786062076,True,True,0.0,True
1.0,0.5,2001,0.0,-1.0,0.00018281877420945808,9.140938710462328e-05,-3.967970369011393e-07,-0.24060276872561298,True,True,0.0,True
1.0,0.5,4001,0.0,-1.0,4.895174578861701e-05,2.4475872894417e-05,-3.9488031127224826e-07,-0.27605942729789157,True,True,0.0,True
2.0,0.5,501,0.0,-2.0,0.00405531893392562,0.0027035459559505573,-2.06267276450133e-08,-0.13401869529177937,True,True,0.0,True
2.0,0.5,1001,0.0,-2.0,0.0012842011758176415,0.0008561341172118697,-2.013059238665443e-08,-0.24282064491559868,True,True,0.0,True
2.0,0.5,2001,0.0,-2.0,0.00036567097111503427,0.00024378064741005935,-1.9887918195104053e-08,-0.33655863821240317,True,True,0.0,True
2.0,0.5,4001,0.0,-2.0,9.790588787376819e-05,6.527059191585984e-05,-1.976790274267316e-08,-0.3996198148936453,True,True,0.0,True
0.25,1.0,501,0.0,-0.25,0.0009489093021486194,0.00018978186042980141,-8.123378517663714e-07,-0.021743828212169986,True,True,0.0,True
0.25,1.0,1001,0.0,-0.25,0.0003008283487977852,6.016566975968602e-05,-7.995851068417102e-07,-0.0320315865728198,True,True,0.0,True
0.25,1.0,2001,0.0,-0.25,8.56914539185029e-05,1.7138290783743703e-05,-7.933069052818714e-07,-0.03961743632130214,True,True,0.0,True
0.25,1.0,4001,0.0,-0.25,2.2945783359093956e-05,4.589156671875741e-06,-7.901919840146891e-07,-0.04430088271257381,True,True,0.0,True
0.5,1.0,501,0.0,-0.5,0.0012654605052445727,0.00042182016841489374,-4.175345930012271e-07,-0.024488972801148128,True,True,0.0,True
0.5,1.0,1001,0.0,-0.5,0.00040112940168101794,0.00013370980056035738,-4.104797342007026e-07,-0.037161245510954705,True,True,0.0,True
0.5,1.0,2001,0.0,-0.5,0.00011425729527970352,3.8085765093208595e-05,-4.0700981512119105e-07,-0.04671726250829236,True,True,0.0,True
0.5,1.0,4001,0.0,-0.5,3.059452285840012e-05,1.019817428631971e-05,-4.0528901008231006e-07,-0.052690209565743176,True,True,0.0,True
1.0,1.0,501,0.0,-1.0,0.002025607923234188,0.0010128039616170326,-1.0213635534380927e-07,-0.028765433768683367,True,True,0.0,True
1.0,1.0,1001,0.0,-1.0,0.0006418945735879674,0.00032094728679390164,-1.0016639385772516e-07,-0.0463134946515519,True,True,0.0,True
1.0,1.0,2001,0.0,-1.0,0.00018281877420945808,9.140938710462328e-05,-9.919925922528482e-08,-0.060150692181403245,True,True,0.0,True
1.0,1.0,4001,0.0,-1.0,4.895174578861701e-05,2.4475872894417e-05,-9.872007781806207e-08,-0.06901485682447289,True,True,0.0,True
2.0,1.0,501,0.0,-2.0,0.00405531893392562,0.0027035459559505573,-5.156681911253325e-09,-0.03350467382294484,True,True,0.0,True
2.0,1.0,1001,0.0,-2.0,0.0012842011758176415,0.0008561341172118697,-5.032648096663607e-09,-0.06070516122889967,True,True,0.0,True
